DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
158,2008-08-02,2008,8,August,2,Saturday,1
159,2008-08-03,2008,8,August,3,Sunday,1
160,2008-08-04,2008,8,August,4,Monday,1
161,2008-08-05,2008,8,August,5,Tuesday,1
162,2008-08-06,2008,8,August,6,Wednesday,1
163,2008-08-08,2008,8,August,8,Friday,1
164,2008-08-09,2008,8,August,9,Saturday,1
165,2008-08-10,2008,8,August,10,Sunday,1
166,2008-08-11,2008,8,August,11,Monday,1
167,2008-08-12,2008,8,August,12,Tuesday,1
168,2008-08-13,2008,8,August,13,Wednesday,1
169,2008-08-14,2008,8,August,14,Thursday,1
170,2008-08-15,2008,8,August,15,Friday,1
171,2008-08-16,2008,8,August,16,Saturday,1
172,2008-08-17,2008,8,August,17,Sunday,1
173,2008-08-18,2008,8,August,18,Monday,1
174,2008-08-19,2008,8,August,19,Tuesday,1
175,2008-08-20,2008,8,August,20,Wednesday,1
176,2008-08-22,2008,8,August,22,Friday,1
177,2008-08-23,2008,8,August,23,Saturday,1
178,2008-08-25,2008,8,August,25,Monday,1
179,2008-08-27,2008,8,August,27,Wednesday,1
180,2008-08-29,2008,8,August,29,Friday,1
181,2008-09-01,2008,9,September,1,Monday,1
182,2008-09-02,2008,9,September,2,Tuesday,1
183,2008-09-03,2008,9,September,3,Wednesday,1
184,2008-09-04,2008,9,September,4,Thursday,1
185,2008-09-05,2008,9,September,5,Friday,1
186,2008-09-06,2008,9,September,6,Saturday,1
187,2008-09-07,2008,9,September,7,Sunday,1
188,2008-09-08,2008,9,September,8,Monday,1
189,2008-09-09,2008,9,September,9,Tuesday,1
190,2008-09-10,2008,9,September,10,Wednesday,1
191,2008-09-11,2008,9,September,11,Thursday,1
192,2008-09-12,2008,9,September,12,Friday,1
193,2008-09-13,2008,9,September,13,Saturday,1
194,2008-09-14,2008,9,September,14,Sunday,1
195,2008-09-16,2008,9,September,16,Tuesday,1
196,2008-09-18,2008,9,September,18,Thursday,1
197,2008-09-19,2008,9,September,19,Friday,1
198,2008-09-20,2008,9,September,20,Saturday,1
199,2008-09-21,2008,9,September,21,Sunday,1
200,2008-09-22,2008,9,September,22,Monday,1
201,2008-09-23,2008,9,September,23,Tuesday,1
202,2008-09-24,2008,9,September,24,Wednesday,1
203,2008-09-25,2008,9,September,25,Thursday,1
204,2008-09-26,2008,9,September,26,Friday,1
205,2008-09-27,2008,9,September,27,Saturday,1
206,2008-09-28,2008,9,September,28,Sunday,1
207,2008-09-29,2008,9,September,29,Monday,1
208,2008-09-30,2008,9,September,30,Tuesday,1
209,2008-10-01,2008,10,October,1,Wednesday,1
210,2008-10-02,2008,10,October,2,Thursday,1
211,2008-10-03,2008,10,October,3,Friday,1
212,2008-10-06,2008,10,October,6,Monday,1
213,2008-10-08,2008,10,October,8,Wednesday,1
214,2008-10-09,2008,10,October,9,Thursday,1
215,2008-10-10,2008,10,October,10,Friday,1
216,2008-10-11,2008,10,October,11,Saturday,1
217,2008-10-12,2008,10,October,12,Sunday,1
218,2008-10-13,2008,10,October,13,Monday,1
219,2008-10-15,2008,10,October,15,Wednesday,1
220,2008-10-16,2008,10,October,16,Thursday,1
